Route,Route Type,Source Page File,Render Mode,Current Content Source,Existing CMS Page Slug,Hero CMS Managed,All Sections CMS Managed,Images CMS Managed,Links and CTAs CMS Managed,SEO CMS Managed,Navigation Managed,Footer References Managed,Collection Dependencies,Hardcoded Content Files,Existing Block Types Used,Missing Block Types,Public Empty-State Behavior,Admin Preview Available,Draft Publish Supported,Main Risk,Recommended Migration,Priority,CMS Coverage Status
/,Marketing page,src/app/(public)/page.tsx,Server RSC,CmsHeroSection + CmsContentBlock via content repository,home,Yes,Yes,Partial,Yes,Partial,Yes,Yes,"statistics, client partners, stories, insights, industries/training/trust dynamic blocks","src/demo-data/homepage.ts","introduction; manifesto; statistics; service_list; pillar_grid; industry_grid; training_bento; map_intelligence; trust_centre; community; client_marquee; story_grid; insight_preview; final_cta","logo_grid; testimonial_grid if testimonials become public","Server-backed blocks return null when empty; admin preview placeholders exist",Yes,Partial,"Homepage depends on dynamic block preview data and mixed collection-backed blocks","Keep CMS page; strengthen collection-backed blocks and SEO snapshot coverage",P1,FULL
/about,Marketing page,src/app/(public)/about/page.tsx,Server RSC,CmsPage fallback plus CmsContentBlock,about,Partial,Partial,Partial,Partial,Static metadata only,Yes,Yes,None,"src/app/(public)/about/page.tsx; src/demo-data/pages/about.ts","editorial; stats_grid; core_values","leadership_grid; milestones if merged from subpages","Falls back to hardcoded hero copy if CMS missing",Yes,Partial,"Static metadata and fallback hero mean CMS record does not own all visible/SEO content","Make CmsPage SEO authoritative and remove hardcoded fallback after seeded content",P1,PARTIAL
/about/our-story,Marketing page,src/app/(public)/about/our-story/page.tsx,Static RSC,Component-local hardcoded copy and milestones,None,No,No,No,No,No,Yes,Yes,None,"src/app/(public)/about/our-story/page.tsx:13","none","timeline; milestones; rich_text; image_text","No dynamic empty state",No,No,"Major brand story content is hardcoded and duplicated conceptually with About CMS blocks","Create CMS page or milestones collection-backed block",P1,NONE
/about/mission-vision-values,Marketing page,src/app/(public)/about/mission-vision-values/page.tsx,Static RSC,Component-local hardcoded mission/value copy,None,No,No,No,No,No,Yes,Yes,None,src/app/(public)/about/mission-vision-values/page.tsx,none,"rich_text; card_grid; quote; CTA","No dynamic empty state",No,No,"Core positioning content not editable","Migrate to CmsPage with core_values/card_grid blocks",P1,NONE
/about/leadership,Marketing page,src/app/(public)/about/leadership/page.tsx,Static RSC,Component-local leaders array,None,No,No,No,No,No,Yes,Yes,None,"src/app/(public)/about/leadership/page.tsx:15",none,leadership_grid,"No dynamic empty state",No,No,"Leadership names/roles are hardcoded and should be collection-managed","Use team/leadership collection with ordering and publish visibility",P0,NONE
/about/our-people,Marketing page,src/app/(public)/about/our-people/page.tsx,Static RSC,Component-local departments array,None,No,No,No,No,No,Yes,Yes,None,"src/app/(public)/about/our-people/page.tsx:15",none,"team_grid; department_grid; CTA","No dynamic empty state",No,No,"People/team presentation is not connected to existing getTeamMembers repository method","Use TeamMember collection plus CmsPage intro blocks",P1,NONE
/about/community-impact,Marketing page,src/app/(public)/about/community-impact/page.tsx,Static RSC,Component-local impact pillars and stats,None,No,No,No,No,No,Yes,Yes,None,"src/app/(public)/about/community-impact/page.tsx:14; src/app/(public)/about/community-impact/page.tsx:21",none,"card_grid; stats_grid; testimonial_grid","No dynamic empty state",No,No,"Impact metrics can drift from homepage/statistics copy","Move to CmsPage blocks or statistics collection scoped by page",P1,NONE
/employers,Marketing page,src/app/(public)/employers/page.tsx,Server RSC,CmsPage + CmsContentBlock with hardcoded fallback hero,employers,Partial,Partial,Partial,Partial,SEOPageMeta via repository,Yes,Yes,None,"src/app/(public)/employers/page.tsx; src/demo-data/pages/employers.ts","editorial; process_flow; solutions_grid; advantage","feature_grid; CTA variants","Falls back to hardcoded hero when CMS missing",Yes,Partial,"Landing page is CMS-capable but fallback/default copy can diverge","Make seeded CmsPage mandatory and use registry allowed blocks",P1,PARTIAL
/employers/[slug],Dynamic detail page,src/app/(public)/employers/[slug]/page.tsx,Static generated/detail RSC,src/lib/content.ts employersContent,None,No,No,No,No,No,Yes,Yes,None,"src/lib/content.ts:11",none,"detail_template; feature_grid; image_text; CTA","notFound when slug missing",No,No,"Service detail pages are hardcoded TypeScript data outside CMS","Convert to CmsPage children or EmployerService collection",P0,NONE
/employers/request-workforce,Form or functional page,src/app/(public)/employers/request-workforce/page.tsx,Static RSC + client/server action form,Hardcoded page copy + RequestWorkforceForm server action,None,No,No,No,No,No,Yes,Yes,EmployerLead via form action,"src/app/(public)/employers/request-workforce/page.tsx:13; src/app/(public)/employers/request-workforce/page.tsx:36",none,"application_intro; form_intro; faq; CTA","Form errors controlled by action",No,No,"Form framing copy is hardcoded; validation must remain code-controlled","Add CmsPage intro/sidebar blocks; keep Zod/email/server action in code",P1,FUNCTIONAL_CODE_CONTROLLED
